year,name_first,name_last,ab,bb,so,obp,slg
2013,Todd,Helton,397,40,87,.314,.423
2013,DJ,LeMahieu,404,19,67,.311,.361
2013,Troy,Tulowitzki,446,57,85,.391,.540
2013,Nolan,Arenado,486,23,72,.301,.405
2013,Carlos,Gonzalez,391,41,118,.367,.591
2013,Dexter,Fowler,415,65,105,.369,.407
2013,Michael,Cuddyer,489,46,100,.389,.530
2013,Josh,Rutledge,285,22,62,.294,.337
2013,Jordan,Pacheco,247,10,38,.276,.312
2013,Charlie,Blackmon,246,7,49,.336,.467
2013,Jonathan,Herrera,195,14,24,.336,.364
2013,Corey,Dickerson,194,16,41,.316,.459
2013,Yorvit,Torrealba,179,13,24,.295,.285
2013,Eric,Young,165,11,33,.290,.352
2013,Charlie,Culberson,99,4,23,.317,.404
2013,Tyler,Colvin,75,3,27,.192,.280
2013,Chris,Nelson,66,4,19,.282,.318
2013,Reid,Brignac,48,3,13,.294,.375
2013,Ryan,Wheeler,41,1,10,.238,.268
2013,Jhoulys,Chacin,63,3,15,.221,.254
2013,Jorge,De,52,2,21,.074,.038
2013,Juan,Nicasio,36,4,20,.225,.139
2013,Tyler,Chatwood,40,2,8,.333,.325
2013,Jon,Garland,19,0,5,.158,.211
2013,Jeff,Francis,14,2,3,.222,.143
2013,Chad,Bettis,11,0,4,.000,.000
2013,Adam,Ottavino,9,0,5,.111,.111
2013,Roy,Oswalt,6,0,2,.333,.333
2013,Jeff,Manship,7,0,2,.000,.000
2013,Edgmer,Escalona,6,0,3,.000,.000
2013,Josh,Outman,5,0,2,.000,.000
2013,Manny,Corpas,3,0,3,.000,.000
2013,Collin,McHugh,4,0,1,.250,.250
2013,Drew,Pomeranz,3,0,1,.000,.000
2013,Matt,Belisle,1,0,1,.000,.000
2013,Wilton,Lopez,1,0,1,.000,.000
2013,Rex,Brothers,1,0,1,.000,.000
2013,Rob,Scahill,1,0,0,.000,.000
2013,Mitchell,Boggs,0,0,0,0.0,0.0
2013,Chris,Volstad,0,0,0,0.0,0.0
2013,Rafael,Betancourt,0,0,0,0.0,0.0
2013,Logan,Kensing,0,0,0,0.0,0.0
2013,Alex,Avila,330,44,112,.317,.376
2013,Prince,Fielder,624,75,117,.362,.457
2013,Omar,Infante,453,20,44,.345,.450
2013,Jhonny,Peralta,409,35,98,.358,.457
2013,Miguel,Cabrera,555,90,94,.442,.636
2013,Andy,Dirks,438,42,84,.323,.363
2013,Austin,Jackson,552,52,129,.337,.417
2013,Torii,Hunter,606,26,113,.334,.465
2013,Victor,Martinez,605,54,62,.355,.430
2013,Don,Kelly,216,27,28,.309,.343
2013,Brayan,Pena,229,6,26,.315,.397
2013,Ramon,Santiago,205,21,32,.298,.288
2013,Matt,Tuiasosopo,164,25,57,.351,.415
2013,Jose,Iglesias,135,4,30,.306,.348
2013,Avisail,Garcia,83,4,21,.273,.373
2013,Hernan,Perez,66,2,15,.217,.227
